r4;piO;piP;piR;piF;cV;cS;cT
000,190000000;000,001242037;000,010953085;000,000000000;000,000000000;000,109530850;000,020853659;000,130384509;
000,180000000;000,002141273;000,009906920;000,000000000;000,000000000;000,099069200;000,019518072;000,118587272;
000,170000000;000,001902202;000,010002560;000,000000000;000,000000000;000,100025595;000,018214286;000,118239881;
000,160000000;000,002215500;000,009549206;000,000000000;000,000000000;000,095492060;000,016941176;000,112433237;
000,150000000;000,001953701;000,009674205;000,000000000;000,000000000;000,096742055;000,015697674;000,112439729;
000,140000000;000,001601637;000,009892616;000,000000000;000,000000000;000,098926162;000,014482759;000,113408921;
000,130000000;000,002424875;000,008938762;000,000000000;000,000000000;000,089387617;000,013295455;000,102683072;
000,120000000;000,001934280;000,009301675;000,000000000;000,000000000;000,093016750;000,012134831;000,105151582;
000,110000000;000,001840939;000,009270173;000,000000000;000,000000000;000,092701726;000,011000000;000,103701726;
000,100000000;000,002242332;000,008746679;000,000000000;000,000000000;000,087466790;000,009890110;000,097356900;
000,090000000;000,001582480;000,009287085;000,000000000;000,000000000;000,092870855;000,008804348;000,101675202;
000,080000000;000,001506642;000,009246046;000,000000000;000,000000000;000,092460460;000,007741935;000,100202395;
000,070000000;000,002369730;000,008268568;000,000000000;000,000000000;000,082685678;000,006702128;000,089387806;
000,060000000;000,001886265;000,008640051;000,000000000;000,000000000;000,086400510;000,005684211;000,092084720;
000,050000000;000,002037623;000,008379044;000,000000000;000,000000000;000,083790438;000,004687500;000,088477938;
000,040000000;000,002019285;000,008289994;000,000000000;000,000000000;000,082899935;000,003711340;000,086611276;
000,030000000;000,001720441;000,008483641;000,000000000;000,000000000;000,084836411;000,002755102;000,087591513;
000,020000000;000,001158880;000,008942130;000,000000000;000,000000000;000,089421296;000,001818182;000,091239478;
000,010000000;000,000600067;000,009399933;000,000000000;000,000000000;000,093999332;000,000900000;000,094899332;
