R4;piO:Simulado;piO:Modelado;piO:Diferença;piO:Porcentagem;
0,755;0,429887363;0,429899;0,000011637;0,0027069515;
0,754;0,42961483;0,42964;0,00002517;0,0058585647;
0,753;0,429355515;0,42938;0,000024485;0,0057025707;
0,752;0,429095049;0,429119;0,000023951;0,0055815912;
0,751;0,428847056;0,428859;0,000011944;0,0027851033;
0,75;0,428599969;0,428598;0,000001969;0,0004594038;
0,749;0,428337189;0,428337;0,000000189;4,41241261768181E-005;
0,748;0,428078024;0,428075;0,000003024;0,0007064158;
0,747;0,427815485;0,427813;0,000002485;0,0005808596;
0,746;0,427558601;0,42755;0,000008601;0,0020116743;
0,745;0,427292948;0,427287;0,000005948;0,0013920289;
0,744;0,427034645;0,427024;0,000010645;0,0024928031;
0,743;0,426741297;0,42676;0,000018703;0,004382653;
0,742;0,426473672;0,426496;0,000022328;0,0052353561;
0,741;0,426225576;0,426232;0,000006424;0,0015071718;
0,74;0,425944222;0,425967;0,000022778;0,0053475056;
0,739;0,425679694;0,425702;0,000022306;0,0052399529;
0,738;0,425431369;0,425436;0,000004631;0,0010885363;
0,737;0,425147703;0,42517;0,000022297;0,0052443928;
0,736;0,424881958;0,424904;0,000022042;0,0051876593;
0,735;0,424633935;0,424637;0,000003065;0,0007217956;
0,734;0,424347812;0,42437;0,000022188;0,005228593;
0,733;0,424080947;0,424102;0,000021053;0,0049642592;
0,732;0,423833444;0,423835;0,000001556;0,0003671247;
0,731;0,423563387;0,423566;0,000002613;0,0006169069;
0,73;0,423270255;0,423298;0,000027745;0,0065546989;
0,729;0,423067396;0,423028;0,000039396;0,0093124251;
0,728;0,422741034;0,422759;0,000017966;0,0042497929;
0,727;0,422472912;0,422489;0,000016088;0,0038079823;
0,726;0,422191434;0,422219;0,000027566;0,0065290524;
0,725;0,421921232;0,421948;0,000026768;0,0063441109;
0,724;0,421661268;0,421677;0,000015732;0,0037308873;
0,723;0,421389098;0,421405;0,000015902;0,0037736382;
0,722;0,421106947;0,421134;0,000027053;0,0064240524;
0,721;0,420834456;0,420861;0,000026544;0,0063072694;
0,72;0,420572962;0,420589;0,000016038;0,0038132965;
0,719;0,420321749;0,420315;0,000006749;0,0016056876;
0,718;0,420045881;0,420042;0,000003881;0,000923951;
0,717;0,419747538;0,419768;0,000020462;0,0048747162;
0,716;0,419503277;0,419494;0,000009277;0,0022114494;
0,715;0,419225774;0,419219;0,000006774;0,0016158488;
0,714;0,418923749;0,418944;0,000020251;0,0048339371;
0,713;0,418648728;0,418668;0,000019272;0,004603276;
0,712;0,41840375;0,418392;0,00001175;0,0028083317;
0,711;0,418096035;0,418116;0,000019965;0,0047751047;
0,71;0,41782027;0,417839;0,00001873;0,0044826883;
0,709;0,417580923;0,417562;0,000018923;0,0045316794;
0,708;0,417265018;0,417284;0,000018982;0,0045490438;
0,707;0,416980994;0,417006;0,000025006;0,0059967362;
0,706;0,41671639;0,416728;0,00001161;0,0027860287;
0,705;0,416423438;0,416449;0,000025562;0,0061382749;
0,704;0,416144682;0,41617;0,000025318;0,0060837567;
0,703;0,415879522;0,41589;0,000010478;0,0025194479;
0,702;0,415584619;0,41561;0,000025381;0,0061071136;
0,701;0,415317995;0,415329;0,000011005;0,0026497417;
0,7;0,415023693;0,415049;0,000025307;0,0060975383;
0,699;0,414757146;0,414767;0,000009854;0,0023758199;
0,698;0,414460054;0,414485;0,000024946;0,0060187343;
0,697;0,414192402;0,414203;0,000010598;0,0025586815;
0,696;0,413895784;0,41392;0,000024216;0,005850577;
0,695;0,413629474;0,413637;0,000007526;0,0018194863;
0,694;0,41332886;0,413354;0,00002514;0,0060821389;
0,693;0,41306102;0,41307;0,00000898;0,0021739893;
0,692;0,412757915;0,412786;0,000028085;0,006803999;
0,691;0,41247291;0,412501;0,00002809;0,0068099123;
0,69;0,412198533;0,412216;0,000017467;0,0042374314;
0,689;0,411902486;0,41193;0,000027514;0,0066795132;
0,688;0,411628052;0,411644;0,000015948;0,0038742965;
0,687;0,411329658;0,411357;0,000027342;0,0066470022;
0,686;0,411053891;0,41107;0,000016109;0,0039188741;
0,685;0,410755748;0,410783;0,000027252;0,0066343797;
0,684;0,410479822;0,410495;0,000015178;0,0036975555;
0,683;0,410179328;0,410207;0,000027672;0,00674609;
0,682;0,409902454;0,409918;0,000015546;0,0037925377;
0,681;0,409601894;0,409629;0,000027106;0,0066174262;
0,68;0,409312205;0,40934;0,000027795;0,0067904294;
0,679;0,409034193;0,40905;0,000015807;0,0038643944;
0,678;0,408735898;0,408759;0,000023102;0,0056519007;
0,677;0,408468377;0,408468;0,000000377;0,000092296;
0,676;0,408153276;0,408177;0,000023724;0,0058123533;
0,675;0,407883687;0,407885;0,000001313;0,000321905;
0,674;0,407569471;0,407593;0,000023529;0,0057728369;
0,673;0,40730408;0,4073;0,00000408;0,0010017136;
0,672;0,407015059;0,407007;0,000008059;0,0019800446;
0,671;0,406690405;0,406713;0,000022595;0,0055556689;
0,67;0,406424822;0,406419;0,000005822;0,0014325015;
0,669;0,406102495;0,406125;0,000022505;0,0055415509;
0,668;0,405844136;0,40583;0,000014136;0,0034831712;
0,667;0,40551173;0,405534;0,00002227;0,0054916755;
