r4;piO;piP;piR;piF;cV;cS;cT
000,510000000;000,391311816;000,608688184;000,000000000;000,000000000;006,086881837;006,795000000;012,881881837;
000,500000000;000,389938052;000,610061948;000,000000000;000,000000000;006,100619481;006,750000000;012,850619481;
000,490000000;000,389851460;000,610148540;000,000000000;000,000000000;006,101485399;006,705000000;012,806485399;
000,480000000;000,391747464;000,608252536;000,000000000;000,000000000;006,082525358;006,660000000;012,742525358;
000,470000000;000,390054614;000,609945386;000,000000000;000,000000000;006,099453863;006,615000000;012,714453863;
000,460000000;000,388895747;000,611104253;000,000000000;000,000000000;006,111042529;006,570000000;012,681042529;
000,450000000;000,386897461;000,613102539;000,000000000;000,000000000;006,131025395;006,525000000;012,656025395;
000,440000000;000,386565751;000,613434249;000,000000000;000,000000000;006,134342490;006,480000000;012,614342490;
000,430000000;000,386351990;000,613648010;000,000000000;000,000000000;006,136480101;006,435000000;012,571480101;
000,420000000;000,384163464;000,615836536;000,000000000;000,000000000;006,158365363;006,390000000;012,548365363;
000,410000000;000,384478435;000,615521565;000,000000000;000,000000000;006,155215648;006,345000000;012,500215648;
000,400000000;000,383534801;000,616465199;000,000000000;000,000000000;006,164651990;006,300000000;012,464651990;
000,390000000;000,381111177;000,618888823;000,000000000;000,000000000;006,188888228;006,255000000;012,443888228;
000,380000000;000,379889380;000,620110620;000,000000000;000,000000000;006,201106195;006,210000000;012,411106195;
000,370000000;000,379741864;000,620258136;000,000000000;000,000000000;006,202581364;006,165000000;012,367581364;
000,360000000;000,378516227;000,621483773;000,000000000;000,000000000;006,214837731;006,120000000;012,334837731;
000,350000000;000,377216767;000,622783233;000,000000000;000,000000000;006,227832333;006,075000000;012,302832333;
000,340000000;000,375544631;000,624455369;000,000000000;000,000000000;006,244553693;006,030000000;012,274553693;
000,330000000;000,375367645;000,624632355;000,000000000;000,000000000;006,246323552;005,985000000;012,231323552;
000,320000000;000,373508784;000,626491216;000,000000000;000,000000000;006,264912155;005,940000000;012,204912155;
000,310000000;000,371040030;000,628959970;000,000000000;000,000000000;006,289599703;005,895000000;012,184599703;
000,300000000;000,369359779;000,630640221;000,000000000;000,000000000;006,306402212;005,850000000;012,156402212;
000,290000000;000,367716255;000,632283745;000,000000000;000,000000000;006,322837452;005,805000000;012,127837452;
