r4;piO;ic;pi;ic;piR;ic;piF;ic;cV;ic;cS;ic;cT;ic
000.380000000;000.001480621;000.014959996;000.014392395;000.014959996;000.000000000;000.000000000;000.000000000;000.000000000;000.143923953;000.149599955;000.054285714;000.000000000;000.198209667;000.149599955;
000.370000000;000.001019428;000.007282175;000.014605572;000.007282175;000.000000000;000.000000000;000.000000000;000.000000000;000.146055724;000.072821754;000.052031250;000.000000000;000.198086974;000.072821754;
000.360000000;000.001648011;000.013194416;000.013736605;000.013194416;000.000000000;000.000000000;000.000000000;000.000000000;000.137366048;000.131944161;000.049846154;000.000000000;000.187212202;000.131944161;
000.350000000;000.001219158;000.009318529;000.013932357;000.009318529;000.000000000;000.000000000;000.000000000;000.000000000;000.139323568;000.093185289;000.047727273;000.000000000;000.187050840;000.093185289;
000.340000000;000.001923753;000.019445053;000.013001620;000.019445053;000.000000000;000.000000000;000.000000000;000.000000000;000.130016205;000.194450530;000.045671642;000.000000000;000.175687847;000.194450530;
000.330000000;000.001117610;000.014055356;000.013588273;000.014055356;000.000000000;000.000000000;000.000000000;000.000000000;000.135882726;000.140553562;000.043676471;000.000000000;000.179559196;000.140553562;
000.320000000;000.000812562;000.008206391;000.013680192;000.008206391;000.000000000;000.000000000;000.000000000;000.000000000;000.136801920;000.082063911;000.041739130;000.000000000;000.178541050;000.082063911;
000.310000000;000.001179812;000.008684156;000.013105903;000.008684156;000.000000000;000.000000000;000.000000000;000.000000000;000.131059025;000.086841564;000.039857143;000.000000000;000.170916168;000.086841564;
000.300000000;000.001036264;000.012225902;000.013048243;000.012225902;000.000000000;000.000000000;000.000000000;000.000000000;000.130482430;000.122259024;000.038028169;000.000000000;000.168510599;000.122259024;
000.290000000;000.001547173;000.014582647;000.012341716;000.014582647;000.000000000;000.000000000;000.000000000;000.000000000;000.123417163;000.145826471;000.036250000;000.000000000;000.159667163;000.145826471;
000.280000000;000.000818182;000.009035693;000.012880449;000.009035693;000.000000000;000.000000000;000.000000000;000.000000000;000.128804485;000.090356934;000.034520548;000.000000000;000.163325033;000.090356934;
000.270000000;000.000776606;000.010033839;000.012736907;000.010033839;000.000000000;000.000000000;000.000000000;000.000000000;000.127369071;000.100338390;000.032837838;000.000000000;000.160206909;000.100338390;
000.260000000;000.000901182;000.015942336;000.012432151;000.015942336;000.000000000;000.000000000;000.000000000;000.000000000;000.124321512;000.159423356;000.031200000;000.000000000;000.155521512;000.159423356;
000.250000000;000.001011840;000.011518760;000.012146054;000.011518760;000.000000000;000.000000000;000.000000000;000.000000000;000.121460544;000.115187600;000.029605263;000.000000000;000.151065807;000.115187600;
000.240000000;000.000983076;000.016288691;000.012003937;000.016288691;000.000000000;000.000000000;000.000000000;000.000000000;000.120039370;000.162886912;000.028051948;000.000000000;000.148091318;000.162886912;
000.230000000;000.001535519;000.020882850;000.011284994;000.020882850;000.000000000;000.000000000;000.000000000;000.000000000;000.112849942;000.208828504;000.026538462;000.000000000;000.139388404;000.208828504;
000.220000000;000.000656516;000.008976232;000.012001712;000.008976232;000.000000000;000.000000000;000.000000000;000.000000000;000.120017119;000.089762325;000.025063291;000.000000000;000.145080410;000.089762325;
000.210000000;000.001395780;000.019139956;000.011104220;000.019139956;000.000000000;000.000000000;000.000000000;000.000000000;000.111042205;000.191399563;000.023625000;000.000000000;000.134667205;000.191399563;
000.200000000;000.000867073;000.013147010;000.011478606;000.013147010;000.000000000;000.000000000;000.000000000;000.000000000;000.114786055;000.131470103;000.022222222;000.000000000;000.137008278;000.131470103;
000.190000000;000.000953561;000.015344462;000.011241561;000.015344462;000.000000000;000.000000000;000.000000000;000.000000000;000.112415612;000.153444622;000.020853659;000.000000000;000.133269270;000.153444622;
000.180000000;000.001185729;000.020939163;000.010862464;000.020939163;000.000000000;000.000000000;000.000000000;000.000000000;000.108624639;000.209391630;000.019518072;000.000000000;000.128142711;000.209391630;
000.170000000;000.000653842;000.013346759;000.011250919;000.013346759;000.000000000;000.000000000;000.000000000;000.000000000;000.112509195;000.133467588;000.018214286;000.000000000;000.130723481;000.133467588;
000.160000000;000.000862414;000.013582658;000.010902292;000.013582658;000.000000000;000.000000000;000.000000000;000.000000000;000.109022919;000.135826584;000.016941176;000.000000000;000.125964096;000.135826584;
000.150000000;000.000353512;000.007958962;000.011274395;000.007958962;000.000000000;000.000000000;000.000000000;000.000000000;000.112743953;000.079589623;000.015697674;000.000000000;000.128441627;000.079589623;
000.140000000;000.000740971;000.013752707;000.010753282;000.013752707;000.000000000;000.000000000;000.000000000;000.000000000;000.107532823;000.137527067;000.014482759;000.000000000;000.122015582;000.137527067;
000.130000000;000.000843594;000.011033327;000.010520042;000.011033327;000.000000000;000.000000000;000.000000000;000.000000000;000.105200421;000.110333268;000.013295455;000.000000000;000.118495876;000.110333268;
000.120000000;000.000869780;000.014615133;000.010366175;000.014615133;000.000000000;000.000000000;000.000000000;000.000000000;000.103661748;000.146151330;000.012134831;000.000000000;000.115796579;000.146151330;
000.110000000;000.000783168;000.013527173;000.010327944;000.013527173;000.000000000;000.000000000;000.000000000;000.000000000;000.103279436;000.135271730;000.011000000;000.000000000;000.114279436;000.135271730;
000.100000000;000.000757018;000.010452424;000.010231993;000.010452424;000.000000000;000.000000000;000.000000000;000.000000000;000.102319926;000.104524241;000.009890110;000.000000000;000.112210036;000.104524241;
000.090000000;000.001216809;000.015173044;000.009652756;000.015173044;000.000000000;000.000000000;000.000000000;000.000000000;000.096527563;000.151730441;000.008804348;000.000000000;000.105331911;000.151730441;
000.080000000;000.001937349;000.021339592;000.008815339;000.021339592;000.000000000;000.000000000;000.000000000;000.000000000;000.088153395;000.213395919;000.007741935;000.000000000;000.095895330;000.213395919;
000.070000000;000.003568734;000.018565390;000.007069564;000.018565390;000.000000000;000.000000000;000.000000000;000.000000000;000.070695640;000.185653901;000.006702128;000.000000000;000.077397767;000.185653901;
000.060000000;000.001495434;000.016879045;000.009030882;000.016879045;000.000000000;000.000000000;000.000000000;000.000000000;000.090308817;000.168790446;000.005684211;000.000000000;000.095993028;000.168790446;
000.050000000;000.001447336;000.010924657;000.008969331;000.010924657;000.000000000;000.000000000;000.000000000;000.000000000;000.089693306;000.109246566;000.004687500;000.000000000;000.094380806;000.109246566;
000.040000000;000.002217957;000.011045805;000.008091322;000.011045805;000.000000000;000.000000000;000.000000000;000.000000000;000.080913216;000.110458050;000.003711340;000.000000000;000.084624556;000.110458050;
000.030000000;000.001671590;000.004673262;000.008532492;000.004673262;000.000000000;000.000000000;000.000000000;000.000000000;000.085324917;000.046732615;000.002755102;000.000000000;000.088080019;000.046732615;
000.020000000;000.001169937;000.001841115;000.008931073;000.001841115;000.000000000;000.000000000;000.000000000;000.000000000;000.089310728;000.018411150;000.001818182;000.000000000;000.091128910;000.018411150;
000.010000000;000.000600385;000.000520547;000.009399615;000.000520547;000.000000000;000.000000000;000.000000000;000.000000000;000.093996147;000.005205467;000.000900000;000.000000000;000.094896147;000.005205467;
